iter	Logloss
0	0.6113752969
1	0.549158003
2	0.5029936337
3	0.4690812094
4	0.4423686606
5	0.4201679561
6	0.4034647364
7	0.3902847531
8	0.3808968985
9	0.3724663289
10	0.3662682539
11	0.3613719957
12	0.3575953602
13	0.3540720092
14	0.3515793703
15	0.3487971359
16	0.3464915068
17	0.3448286495
18	0.3436603309
19	0.3426873748
20	0.3414694289
21	0.3404604357
22	0.339709054
23	0.3392053736
24	0.338616593
25	0.3381834237
26	0.33781831
27	0.3372277368
28	0.3369165941
29	0.336462475
30	0.3361579039
31	0.3359063201
32	0.3355261572
33	0.335347637
34	0.3350277026
35	0.3348418698
36	0.3346070944
37	0.334469176
38	0.3342086875
39	0.3340412051
40	0.3338485835
41	0.3337227727
42	0.3335877891
43	0.3334724389
44	0.3333495882
45	0.3332296203
46	0.3331277575
47	0.3330294586
48	0.3329386671
49	0.3328356302
50	0.3327711153
51	0.3326866336
52	0.3325497816
53	0.3324407597
54	0.3323622037
55	0.3323026884
56	0.3322483231
57	0.3321719464
58	0.3321104612
59	0.3320548539
60	0.3319465787
61	0.3318871738
62	0.3318466278
63	0.3317856962
64	0.3317802795
65	0.3316830593
66	0.3316360169
67	0.3315618637
68	0.3315152416
69	0.3314496942
70	0.3313997499
71	0.3313500823
72	0.3313052281
73	0.3312503035
74	0.3312012197
75	0.3311588761
76	0.3311332945
77	0.3310888331
78	0.3310427193
79	0.330977259
80	0.3309625197
81	0.3309142402
82	0.3308538441
83	0.3308280665
84	0.33080231
85	0.3307290698
86	0.3306824615
87	0.3306380817
88	0.3306050928
89	0.3305807022
90	0.3305454172
91	0.3305074092
92	0.3304549084
93	0.3304067199
94	0.3303652419
95	0.3303232287
96	0.3302809007
97	0.3302521428
98	0.3302254356
99	0.3301854229
100	0.3301379204
101	0.3300920843
102	0.3300487938
103	0.330018476
104	0.329980438
105	0.3299440787
106	0.3299082775
107	0.3298637053
108	0.3298206003
109	0.3297888769
110	0.3297508795
111	0.3297171976
112	0.3296566083
113	0.3296024571
114	0.3295662436
115	0.3295386876
116	0.3294930069
117	0.3294426898
118	0.3294102593
119	0.3293687044
120	0.3293373964
121	0.3292978808
122	0.3292476578
123	0.3292165665
124	0.3291829755
125	0.3291420642
126	0.3291059673
127	0.3290666708
128	0.3290328499
129	0.3289963259
130	0.3289567834
131	0.3289218337
132	0.3288702239
133	0.3288397631
134	0.328809028
135	0.3287698727
136	0.3287407857
137	0.3287028398
138	0.3286633886
139	0.32862758
140	0.3285981386
141	0.3285645242
142	0.3285163845
143	0.3284805338
144	0.3284425885
145	0.3284076201
146	0.3283700778
147	0.3283401781
148	0.3283056294
149	0.3282677095
150	0.3282319973
151	0.3281935381
152	0.3281536571
153	0.328119777
154	0.3280895158
155	0.3280484054
156	0.3280094414
157	0.3279758838
158	0.3279432284
159	0.3279004703
160	0.3278645223
161	0.3278308262
162	0.3277952942
163	0.3277647905
164	0.327736418
165	0.3277022956
166	0.327667509
167	0.3276248819
168	0.3275925916
169	0.3275534102
170	0.3275121872
171	0.3274789399
172	0.3274391238
173	0.3274055965
174	0.3273759576
175	0.3273364253
176	0.3272996947
177	0.3272615867
178	0.3272163747
179	0.3271789321
180	0.3271503677
181	0.3271084086
182	0.3270687019
183	0.327032869
184	0.3270034137
185	0.3269662853
186	0.3269436662
187	0.3269122101
188	0.3268849911
189	0.3268515229
190	0.3268143217
191	0.3267833668
192	0.3267526415
193	0.3267248279
194	0.3266911222
195	0.3266598297
196	0.3266296733
197	0.3266001506
198	0.3265741427
199	0.3265422418
200	0.3265122076
201	0.3264822608
202	0.32643967
203	0.3264045592
204	0.3263742734
205	0.3263375653
206	0.3262999553
207	0.3262699565
208	0.3262431917
209	0.3262113307
210	0.3261862997
211	0.3261635357
212	0.326126639
213	0.326098832
214	0.3260722556
215	0.326036552
216	0.326011014
217	0.325986928
218	0.3259648922
219	0.3259225454
220	0.3258848302
221	0.3258592067
222	0.3258190279
223	0.3257824531
224	0.3257534916
225	0.3257272925
226	0.3256941814
227	0.3256700559
228	0.325650448
229	0.3256263048
230	0.3255966037
231	0.3255641743
232	0.3255376512
233	0.3255176492
234	0.3254866467
235	0.3254520345
236	0.3254293699
237	0.3254021584
238	0.3253740444
239	0.3253465541
240	0.3253193449
241	0.3252995539
242	0.3252742409
243	0.3252480521
244	0.3252180594
245	0.3251915376
246	0.325160665
247	0.325124366
248	0.3251062415
249	0.3250734184
250	0.3250538809
251	0.3250339055
252	0.3250049548
253	0.3249673091
254	0.3249503467
255	0.3249192953
256	0.3248872643
257	0.3248629146
258	0.3248298577
259	0.3247982562
260	0.324764325
261	0.3247320778
262	0.3247105991
263	0.3246693671
264	0.3246395978
265	0.324606348
266	0.3245842436
267	0.3245572015
268	0.3245297807
269	0.3245022625
270	0.3244775722
271	0.3244502509
272	0.3244158704
273	0.3243937389
274	0.3243649568
275	0.3243305933
276	0.324302601
277	0.3242663271
278	0.324233718
279	0.324205339
280	0.3241776182
281	0.3241511545
282	0.3241224402
283	0.3240988988
284	0.324067145
285	0.324031967
286	0.3239967443
287	0.323974323
288	0.3239434958
289	0.3239249295
290	0.3238842986
291	0.323860191
292	0.323836348
293	0.3238125865
294	0.3237920601
295	0.3237566616
296	0.3237252528
297	0.3237023938
298	0.3236728712
299	0.3236489172
300	0.3236155575
301	0.3235885443
302	0.3235643464
303	0.3235421794
304	0.3235132583
305	0.3234838003
306	0.3234597777
307	0.3234346063
308	0.3233922515
309	0.3233586352
310	0.3233313959
311	0.3233041923
312	0.3232813314
313	0.3232557833
314	0.323217005
315	0.3231962353
316	0.3231602718
317	0.3231289137
318	0.3230957332
319	0.3230709722
320	0.3230407397
321	0.3230244326
322	0.3229970055
323	0.3229717559
324	0.3229451369
325	0.3229261942
326	0.3228922046
327	0.3228633174
328	0.322836333
329	0.3228013234
330	0.3227689834
331	0.3227497287
332	0.3227194022
333	0.3226860995
334	0.3226681247
335	0.322642137
336	0.3226124798
337	0.3225889084
338	0.3225637027
339	0.3225372555
340	0.3225129918
341	0.3224862816
342	0.3224505662
343	0.3224263257
344	0.3223897889
345	0.3223706204
346	0.3223447814
347	0.3223191909
348	0.3222973332
349	0.3222742062
350	0.3222456369
351	0.3222185378
352	0.322178265
353	0.3221483833
354	0.3221269462
355	0.3220983279
356	0.3220767636
357	0.3220431717
358	0.3220109651
359	0.3219845335
360	0.3219638109
361	0.3219247164
362	0.3219029683
363	0.3218776634
364	0.3218543736
365	0.3218336839
366	0.3218039887
367	0.3217782804
368	0.3217421738
369	0.3217158404
370	0.3216925931
371	0.3216713511
372	0.3216379824
373	0.3216117599
374	0.3215780499
375	0.3215608461
376	0.3215386633
377	0.3215224492
378	0.3215001275
379	0.3214801918
380	0.3214526505
381	0.3214362763
382	0.32141424
383	0.3213883316
384	0.3213622321
385	0.3213451399
386	0.3213153851
387	0.3212887342
388	0.3212670032
389	0.3212373923
390	0.32120394
391	0.3211838904
392	0.3211463422
393	0.3211170093
394	0.3210890595
395	0.3210575349
396	0.3210405697
397	0.3210114185
398	0.3209786333
399	0.3209523514
400	0.3209346623
401	0.3209001854
402	0.3208805644
403	0.3208570829
404	0.3208325482
405	0.3208022426
406	0.3207796955
407	0.3207655647
408	0.320750779
409	0.3207312421
410	0.3206987958
411	0.3206737976
412	0.3206421688
413	0.3206136554
414	0.3205903447
415	0.3205685957
416	0.3205480347
417	0.3205278584
418	0.3204968494
419	0.3204599153
420	0.3204365263
421	0.3204195079
422	0.3203868307
423	0.3203579737
424	0.3203294268
425	0.3203137557
