iter	Passed	Remaining
0	169	169505
1	189	94525
2	209	69484
3	228	56895
4	248	49476
5	270	44766
6	292	41425
7	313	38902
8	331	36462
9	351	34765
10	370	33342
11	390	32141
12	408	31011
13	429	30241
14	449	29492
15	471	28971
16	491	28443
17	510	27860
18	529	27347
19	548	26881
20	569	26550
21	592	26334
22	616	26167
23	636	25893
24	660	25744
25	682	25573
26	705	25433
27	730	25347
28	754	25274
29	777	25152
30	817	25547
31	841	25457
32	864	25346
33	889	25281
34	911	25119
35	934	25012
36	953	24819
37	975	24706
38	999	24631
39	1022	24534
40	1041	24355
41	1064	24275
42	1086	24177
43	1106	24039
44	1128	23943
45	1148	23817
46	1167	23682
47	1187	23542
48	1202	23335
49	1221	23213
50	1241	23093
51	1262	23008
52	1281	22901
53	1300	22775
54	1315	22605
55	1337	22548
56	1359	22495
57	1384	22493
58	1408	22466
59	1432	22446
60	1456	22417
61	1479	22380
62	1501	22324
63	1525	22304
64	1539	22138
65	1561	22095
66	1582	22033
67	1601	21946
68	1622	21894
69	1642	21827
70	1666	21808
71	1688	21762
72	1711	21739
73	1733	21689
74	1753	21631
75	1774	21579
76	1795	21527
77	1816	21477
78	1834	21388
79	1857	21360
80	1873	21251
81	1893	21200
82	1918	21196
83	1937	21133
84	1958	21086
85	1981	21061
86	1998	20977
87	2020	20937
88	2043	20912
89	2065	20888
90	2088	20860
91	2110	20825
92	2135	20826
93	2157	20799
94	2179	20767
95	2202	20737
96	2225	20713
97	2246	20681
98	2266	20628
99	2289	20606
100	2313	20591
101	2336	20573
102	2370	20645
103	2396	20643
104	2420	20635
105	2446	20630
106	2474	20650
107	2501	20659
108	2524	20633
109	2547	20610
110	2569	20577
111	2590	20540
112	2611	20498
113	2637	20496
114	2655	20435
115	2678	20410
116	2701	20388
117	2724	20361
118	2746	20336
119	2770	20316
120	2793	20291
121	2812	20241
122	2834	20209
123	2862	20225
124	2891	20238
125	2917	20238
126	2941	20221
127	2966	20210
128	2994	20216
129	3020	20215
130	3041	20174
131	3068	20176
132	3092	20159
133	3116	20141
134	3140	20119
135	3163	20096
136	3188	20083
137	3215	20085
138	3239	20064
139	3264	20053
140	3285	20015
141	3310	20001
142	3335	19990
143	3359	19968
144	3379	19926
145	3401	19897
146	3424	19871
147	3445	19834
148	3466	19797
149	3489	19773
150	3513	19757
151	3539	19745
152	3565	19739
153	3590	19726
154	3616	19713
155	3643	19712
156	3669	19702
157	3694	19689
158	3717	19663
159	3742	19647
160	3764	19618
161	3786	19585
162	3808	19554
163	3834	19544
164	3864	19558
165	3892	19558
166	3918	19547
167	3940	19513
168	3960	19475
169	3982	19444
170	4005	19419
171	4027	19390
172	4050	19361
173	4073	19339
174	4100	19329
175	4124	19312
176	4149	19292
177	4171	19266
178	4196	19247
179	4219	19222
180	4247	19217
181	4273	19209
182	4298	19189
183	4322	19171
184	4349	19162
185	4377	19158
186	4405	19154
187	4430	19136
188	4453	19110
189	4475	19080
190	4496	19044
191	4515	19004
192	4537	18972
193	4559	18941
194	4579	18906
195	4600	18870
196	4620	18835
197	4643	18808
198	4664	18776
199	4686	18744
200	4708	18716
201	4733	18697
202	4755	18671
203	4777	18642
204	4800	18615
205	4822	18587
206	4842	18551
207	4865	18526
